id,slug,title,artist,inLibrary,bpm,bpmZone,keySignature,energyLevel,danceabilityNormalized,durationSeconds,primaryGenre,folders,playlists,file
10b23a72-1880-4f87-8cf6-ec6609cbf047,sergik-x-og-coconut-big-macs-n-jumbo-jacks--10b23a72,"SERGIK x OG Coconut - Big Macs n Jumbo Jacks","SERGIK",true,136,cross_zone,E major,2,0.68,228,"Reggae","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/sergik-x-og-coconut-big-macs-n-jumbo-jacks--10b23a72.json
28c2d8dd-a350-42e2-9d96-e1497f64b4e7,sergik-x-og-coconut-what-you-want--28c2d8dd,"SERGIK x OG Coconut - What you want","SERGIK",true,123.05,house,G minor,4.5,0.78,330,"Funky House","Are We Awake","Are We Awake",tracks/sergik-x-og-coconut-what-you-want--28c2d8dd.json
733ddb14-460a-4e7b-888f-b04a3859b8a1,sergik-x-og-coconut-what-you-want--733ddb14,"SERGIK x OG Coconut - What you want","SERGIK",false,123.05,house,G minor,4.5,0.78,330,"Funky House","","",tracks/sergik-x-og-coconut-what-you-want--733ddb14.json
8b6f6d23-40a6-44e6-b07b-eccf7d85b84a,sergik-x-og-coconut-what-you-want--8b6f6d23,"SERGIK x OG Coconut - What you want","SERGIK",false,123.05,house,G minor,4.5,0.78,330,"Funky House","","",tracks/sergik-x-og-coconut-what-you-want--8b6f6d23.json
442a3ecc-73ba-4ec5-a210-3fb5c9183116,sergik-x-og-coconut-what-you-want--442a3ecc,"SERGIK x OG Coconut - What you want","SERGIK",false,123.05,house,G minor,4.5,0.78,330,"Funky House","","",tracks/sergik-x-og-coconut-what-you-want--442a3ecc.json
9801989f-7de3-4d89-bc28-0b28d4359121,sergik-x-og-coconut-x-kuhl-mavericks-v2--9801989f,"SERGIK x OG Coconut x Kuhl - Mavericks V2","SERGIK",true,136,cross_zone,D minor,3.8,0.75,192,"Reggae","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/sergik-x-og-coconut-x-kuhl-mavericks-v2--9801989f.json
7e9f6488-2895-4239-a57f-e9ed5f307666,sergik-x-og-coconuttz-drunk-n-high--7e9f6488,"SERGIK X OG Coconuttz - Drunk n High","SERGIK",true,139.67,cross_zone,A# major,3.4,0.74,218,"Experimental Bass","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/sergik-x-og-coconuttz-drunk-n-high--7e9f6488.json
a5d0b11a-79e9-4f42-8552-67d072ea8b1c,sergik-x-optikz-foe-fos--a5d0b11a,"SERGIK x Optikz - Foe Fos","SERGIK",true,143.55,cross_zone,A# minor,3.7,0.75,168,"Trap","Experimental : Free Form Bass","Experimental : Free Form Bass",tracks/sergik-x-optikz-foe-fos--a5d0b11a.json
d31725fc-d787-40f9-87e6-4785cbeeb199,sergik-x-sean-h-x-sean-w-back-at-it--d31725fc,"SERGIK x Sean H x Sean W - Back at it","SERGIK",true,129.2,tech_house,C major,4,0.76,225,"Reggae","Funktioneers","Funktioneers",tracks/sergik-x-sean-h-x-sean-w-back-at-it--d31725fc.json
3b2aaac8-ea3a-49e4-bac2-f466f6f18045,sergik-x-silent-jay-like-that--3b2aaac8,"SERGIK x Silent Jay - Like That","SERGIK",true,123.05,house,E major,4,0.76,284,"Experimental Bass","Feelin Sendy","Feelin Sendy",tracks/sergik-x-silent-jay-like-that--3b2aaac8.json
0d052b8c-4076-424e-b0b1-5664641f3cc4,sergik-x-silent-jay-like-that--0d052b8c,"SERGIK x Silent Jay - Like That","SERGIK",false,123.05,house,E major,4,0.76,284,"Experimental Bass","","",tracks/sergik-x-silent-jay-like-that--0d052b8c.json
c186682b-fad8-4305-a145-2362cf827943,sergik-x-silent-jay-like-that--c186682b,"SERGIK x Silent Jay - Like That","SERGIK",false,123.05,house,E major,4,0.76,284,"Experimental Bass","","",tracks/sergik-x-silent-jay-like-that--c186682b.json
b8c3d286-735b-41e4-bbdd-05faa50becac,sergik-x-silent-jay-make-me-free--b8c3d286,"SERGIK x Silent Jay - Make Me Free","SERGIK",true,129.2,tech_house,A minor,3.9,0.72,242,"Experimental Bass","Funktioneers","Funktioneers",tracks/sergik-x-silent-jay-make-me-free--b8c3d286.json
3a006ebe-0b59-4c80-827d-0447884133e3,sergik-x-silent-jay-move-n-groove--3a006ebe,"SERGIK x Silent Jay - Move n Groove","SERGIK",true,83.35,downtempo,F major,4.3,0.77,219,"Reggae","Funktioneers","Funktioneers",tracks/sergik-x-silent-jay-move-n-groove--3a006ebe.json
651c86f8-7d7d-4244-b002-c09fbc587cfd,sergik-x-silent-jay-numba-one--651c86f8,"SERGIK x Silent Jay - Numba One","SERGIK",true,123.05,house,A major,3.5,0.74,250,"Reggae","Deep n Funky","Deep n Funky",tracks/sergik-x-silent-jay-numba-one--651c86f8.json
307b2e72-a8cd-4d1f-a4be-edf3d2e71d73,sergik-x-silent-jay-numba-one--307b2e72,"SERGIK x Silent Jay - Numba One","SERGIK",false,123.05,house,A major,3.5,0.74,250,"Reggae","","",tracks/sergik-x-silent-jay-numba-one--307b2e72.json
d6413e69-8670-45c6-8c6d-9a6bee46bdf7,sergik-x-silent-jay-soul-on-fire--d6413e69,"SERGIK x Silent Jay - Soul On Fire","SERGIK",true,123.05,house,A minor,,0,252,"Reggae","Funktioneers","Funktioneers",tracks/sergik-x-silent-jay-soul-on-fire--d6413e69.json
cdee54bb-c403-4eda-9d18-3525462c2470,sergik-x-silent-jay-soul-on-fire--cdee54bb,"SERGIK x Silent Jay - Soul On Fire","SERGIK",false,123.05,house,A minor,,0,252,"Reggae","","",tracks/sergik-x-silent-jay-soul-on-fire--cdee54bb.json
f78e6ecc-c059-4e10-b081-7234a473144d,sergik-x-silent-jay-soul-on-fire--f78e6ecc,"SERGIK x Silent Jay - Soul On Fire","SERGIK",false,123.05,house,A minor,3.9,0.76,252,"Reggae","","",tracks/sergik-x-silent-jay-soul-on-fire--f78e6ecc.json
e9cd8d34-76dc-4cd5-a534-5bd3e46c2b09,sergik-x-silent-jay-soul-on-fire--e9cd8d34,"SERGIK x Silent Jay - Soul On Fire","SERGIK",false,123.05,house,A minor,3.9,0.76,252,"Reggae","","",tracks/sergik-x-silent-jay-soul-on-fire--e9cd8d34.json
d0eb88ec-76a8-4cb7-a485-9f06cff4b5bc,sergik-x-silent-jay-soul-on-fire--d0eb88ec,"SERGIK x Silent Jay - Soul On Fire","SERGIK",false,123.05,house,A minor,3.9,0.76,252,"Reggae","","",tracks/sergik-x-silent-jay-soul-on-fire--d0eb88ec.json
946f4e43-5f7b-40b2-8e20-f647d931369e,sergik-x-silent-jay-tear-the-roof-off--946f4e43,"Sergik x Silent Jay - tear the roof off","SERGIK",true,123.05,house,A minor,4.5,0.78,247,"Funky House","Funktioneers","Funktioneers",tracks/sergik-x-silent-jay-tear-the-roof-off--946f4e43.json
b93bc246-979c-4ee9-98f8-fa7f571edcee,sergik-x-slick-gangsta--b93bc246,"SERGIK x Slick - Gangsta","SERGIK",true,129.2,tech_house,G# minor,3.7,0.75,270,"Experimental Bass","Vice & Virtues","Vice & Virtues",tracks/sergik-x-slick-gangsta--b93bc246.json
fec3ad73-25a6-41d2-8f7f-33d4f0a0b066,sergik-x-slick-floyd-just-groove--fec3ad73,"SERGIK x Slick Floyd - Just Groove","SERGIK",true,123.05,house,G minor,5.2,0.81,219,"Hip-Hop","Funktioneers","Funktioneers",tracks/sergik-x-slick-floyd-just-groove--fec3ad73.json
81ad9531-ee0e-4e27-940d-f1253af44ce5,sergik-x-slick-floyd-lde--81ad9531,"SERGIK x Slick Floyd - LDE","SERGIK",true,123.05,house,A minor,3.9,0.76,283,"Hip-Hop","Feelin Sendy","Feelin Sendy",tracks/sergik-x-slick-floyd-lde--81ad9531.json
055c9013-ff19-4431-9ca7-30d589f0dbf4,sergik-x-slick-floyd-lde--055c9013,"SERGIK x Slick Floyd - LDE","SERGIK",false,123.05,house,A minor,3.9,0.76,283,"Hip-Hop","","",tracks/sergik-x-slick-floyd-lde--055c9013.json
